# time, Cp, dv, du, dq, dT, T
71802500,11.8443,-7.8e-05,-0.00274,-0.00336378,-0.000284,0.758016
72002500,11.5028,-0.00012,-0.00325,-0.00421003,-0.000366,0.75765
72202500,2.76888,-7e-06,-0.00119,-0.00124599,-0.00045,0.7572
72402500,6.01388,-6e-05,-0.00219,-0.00267016,-0.000444,0.756756
72602500,8.21109,-6.5e-05,-0.00251,-0.00302989,-0.000369,0.756387
72802500,7.30478,-3.7e-05,-0.0021,-0.00239597,-0.000328,0.756059
73002500,6.21325,-6.5e-05,-0.00245,-0.00296993,-0.000478,0.755581
73202500,6.48515,-4.7e-05,-0.00155,-0.00192609,-0.000297,0.755284
73402500,5.29602,-5.6e-05,-0.00265,-0.00309817,-0.000585,0.754699
73602500,11.4622,-7.8e-05,-0.00223,-0.0028541,-0.000249,0.75445
73802500,7.15642,-1.8e-05,-0.00274,-0.00288404,-0.000403,0.754047
74002500,6.00423,-7.5e-05,-0.00221,-0.00280998,-0.000468,0.753579
74202500,4.16975,-3.1e-05,-0.00152,-0.00176797,-0.000424,0.753155
74402500,5.89157,-6e-06,-0.00169,-0.00173801,-0.000295,0.75286
74602500,6.94014,-8.1e-05,-0.0031,-0.00374768,-0.00054,0.75232
74802500,5.637,-3.5e-05,-0.0018,-0.00208005,-0.000369,0.751951
