# time, Cp, dv, du, dq, dT, T
38602500,5.6058,-1.3e-05,-0.00257,-0.00267396,-0.000477,0.823915
38802500,5.77342,-4.7e-05,-0.00217,-0.00254608,-0.000441,0.823474
39002500,7.33938,-3.2e-05,-0.00221,-0.00246603,-0.000336,0.823138
39202500,5.63732,-4.2e-05,-0.00193,-0.0022662,-0.000402,0.822736
39402500,4.12959,-2.8e-05,-0.0022,-0.00242407,-0.000587,0.822149
39602500,8.51204,-2e-06,-0.00281,-0.002826,-0.000332,0.821817
39802500,9.41338,-6e-05,-0.00289,-0.00336999,-0.000358,0.821459
40002500,6.02813,-9e-06,-0.00293,-0.00300201,-0.000498,0.820961
40202500,14.2174,-5.4e-05,-0.0018,-0.00223213,-0.000157,0.820804
40402500,6.70117,-2.8e-05,-0.00312,-0.00334389,-0.000499,0.820305
