# time, Cp, dv, du, dq, dT, T
502500,5.63285,-6.6e-05,-0.00466,-0.00518785,-0.000921,0.899794
1002500,4.46584,-4.8e-05,-0.00489,-0.00527416,-0.001181,0.898613
1502500,6.33482,-8.1e-05,-0.0048,-0.00544794,-0.00086,0.897753
2002500,5.72132,-3.6e-05,-0.00505,-0.00533799,-0.000933,0.89682
2502500,5.07722,-7.1e-05,-0.00521,-0.00577787,-0.001138,0.895682
3002500,4.69124,-7.4e-05,-0.00401,-0.00460211,-0.000981,0.894701
3502500,6.24888,-6.3e-05,-0.00532,-0.00582396,-0.000932,0.893769
4002500,5.2606,-8.2e-05,-0.00502,-0.00567619,-0.001079,0.89269
4502500,5.10242,-4.6e-05,-0.00452,-0.00488812,-0.000958,0.891732
5002500,5.17241,-5.6e-05,-0.00504,-0.00548793,-0.001061,0.890671
5502500,5.45419,-6.1e-05,-0.00531,-0.00579781,-0.001063,0.889608
6002500,6.95815,-9.2e-05,-0.00474,-0.00547606,-0.000787,0.888821
6502500,4.13771,-3.5e-05,-0.00447,-0.00475009,-0.001148,0.887673
7002500,6.52614,-7.4e-05,-0.00566,-0.00625204,-0.000958,0.886715
7502500,5.49597,-5.9e-05,-0.00487,-0.00534208,-0.000972,0.885743
8002500,4.61399,-6.7e-05,-0.00489,-0.00542605,-0.001176,0.884567
8502500,6.80914,-5.3e-05,-0.00518,-0.00560392,-0.000823,0.883744
9002500,5.88377,-9.5e-05,-0.0051,-0.00586023,-0.000996,0.882748
9502500,5.36191,-4.4e-05,-0.00479,-0.00514207,-0.000959,0.881789
10002500,5.37717,-6.6e-05,-0.00472,-0.00524812,-0.000976,0.880813
10502500,4.95454,-6.8e-05,-0.00501,-0.00555404,-0.001121,0.879692
11002500,6.73344,-5.3e-05,-0.00501,-0.00543389,-0.000807,0.878885
11502500,4.19327,-5.8e-05,-0.00466,-0.00512417,-0.001222,0.877663
12002500,6.43395,-7.6e-05,-0.00562,-0.00622806,-0.000968,0.876695
12502500,5.72404,-5.3e-05,-0.00447,-0.00489406,-0.000855,0.87584
13002500,5.08199,-4.6e-05,-0.00539,-0.0057579,-0.001133,0.874707
13502500,6.10213,-9.2e-05,-0.00525,-0.00598618,-0.000981,0.873726
14002500,5.34681,-5.4e-05,-0.00484,-0.00527196,-0.000986,0.87274
14502500,6.16851,-8.7e-05,-0.00538,-0.00607599,-0.000985,0.871755
15002500,5.47689,-5.5e-05,-0.00513,-0.00557,-0.001017,0.870738
15502500,4.72753,-6.7e-05,-0.00465,-0.0051861,-0.001097,0.869641
16002500,6.40886,-6.4e-05,-0.00516,-0.00567184,-0.000885,0.868756
16502500,5.6722,-6.1e-05,-0.00557,-0.00605791,-0.001068,0.867688
17002500,6.65429,-8.1e-05,-0.00572,-0.00636816,-0.000957,0.866731
17502500,4.86357,-5.5e-05,-0.00437,-0.00481007,-0.000989,0.865742
